#TIC_ID Sector Camera CCD 
439403362 sector03 1 1 
114435753 sector03 1 1 
404746289 sector03 1 1 
404452683 sector03 1 1 
268637115 sector03 1 1 
404452681 sector03 1 1 
326205407 sector03 1 1 
306344182 sector03 1 1 
28043417 sector03 1 1 
471016207 sector03 1 1 
28091412 sector03 1 1 
28055024 sector03 1 1 
28106161 sector03 1 1 
114434449 sector03 1 1 
114471574 sector03 1 1 
326210415 sector03 1 1 
92226327 sector03 1 1 
471012271 sector03 1 1 
98624672 sector03 1 1 
471016687 sector03 1 1 
28052239 sector03 1 1 
28075687 sector03 1 1 
268633473 sector03 1 1 
415983313 sector03 1 1 
63786666 sector03 1 1 
66553625 sector03 1 1 
28077545 sector03 1 1 
439456712 sector03 1 1 
167457891 sector03 1 1 
10762219 sector03 1 1 
114501196 sector03 1 1 
43451370 sector03 1 1 
268651584 sector03 1 1 
344319013 sector03 1 1 
63786743 sector03 1 1 
439454968 sector03 1 1 
326198086 sector03 1 1 
114504708 sector03 1 1 
11519779 sector03 1 1 
439456714 sector03 1 1 
20923971 sector03 1 1 
268717977 sector03 1 1 
423637743 sector03 1 1 
268652293 sector03 1 1 
268637954 sector03 1 1 
98678479 sector03 1 1 
268529417 sector03 1 1 
63798869 sector03 1 1 
268531276 sector03 1 1 
439465820 sector03 1 1 
471015728 sector03 1 1 
43374660 sector03 1 1 
63907537 sector03 1 1 
10785316 sector03 1 1 
114435818 sector03 1 1 
28074981 sector03 1 1 
439462566 sector03 1 1 
114502661 sector03 1 1 
369395663 sector03 1 1 
439453667 sector03 1 1 
63770084 sector03 1 1 
423662790 sector03 1 1 
92192797 sector03 1 1 
77487309 sector03 1 1 
98660907 sector03 1 1 
268533577 sector03 1 1 
184551710 sector03 1 1 
66550610 sector03 1 1 
268634205 sector03 1 1 
11518132 sector03 1 1 
98624550 sector03 1 1 
63793085 sector03 1 1 
28076938 sector03 1 1 
28044592 sector03 1 1 
326208801 sector03 1 1 
11519781 sector03 1 1 
20924648 sector03 1 1 
63836129 sector03 1 1 
404746630 sector03 1 1 
28054279 sector03 1 1 
114471157 sector03 1 1 
62378449 sector03 1 1 
184728833 sector03 1 1 
254305559 sector03 1 1 
98673064 sector03 1 1 
98666399 sector03 1 1 
268615423 sector03 1 1 
10762631 sector03 1 1 
268638225 sector03 1 1 
28076487 sector03 1 1 
268637378 sector03 1 1 
167456185 sector03 1 1 
98665446 sector03 1 1 
322511194 sector03 1 1 
423637744 sector03 1 1 
28091427 sector03 1 1 
28107041 sector03 1 1 
114472278 sector03 1 1 
328161437 sector03 1 1 
63938798 sector03 1 1 
268685988 sector03 1 1 
28091632 sector03 1 1 
63919552 sector03 1 1 
268633866 sector03 1 1 
268536041 sector03 1 1 
92192601 sector03 1 1 
66555173 sector03 1 1 
98678758 sector03 1 1 
43397246 sector03 1 1 
404746639 sector03 1 1 
66534879 sector03 1 1 
98666650 sector03 1 1 
66552170 sector03 1 1 
98660597 sector03 1 1 
66534227 sector03 1 1 
66554865 sector03 1 1 
28077539 sector03 1 1 
98658292 sector03 1 1 
369394619 sector03 1 1 
98624886 sector03 1 1 
98677938 sector03 1 1 
415984704 sector03 1 1 
380860806 sector03 1 1 
63784293 sector03 1 1 
268687730 sector03 1 1 
268639053 sector03 1 1 
28075749 sector03 1 1 
167457337 sector03 1 1 
98625644 sector03 1 1 
114433238 sector03 1 1 
326184855 sector03 1 1 
114472625 sector03 1 1 
439401229 sector03 1 1 
136863916 sector03 1 1 
268535904 sector03 1 1 
28053247 sector03 1 1 
439457119 sector03 1 1 
268686343 sector03 1 1 
419014684 sector03 1 1 
77486972 sector03 1 1 
63919689 sector03 1 1 
114472646 sector03 1 1 
43449862 sector03 1 1 
268636751 sector03 1 1 
268531304 sector03 1 1 
63813497 sector03 1 1 
98625177 sector03 1 1 
114499956 sector03 1 1 
28053338 sector03 1 1 
98610134 sector03 1 1 
28075441 sector03 1 1 
369395662 sector03 1 1 
415984954 sector03 1 1 
423637920 sector03 1 1 
268636324 sector03 1 1 
136847737 sector03 1 1 
63919494 sector03 1 1 
439496581 sector03 1 1 
43361888 sector03 1 1 
268535221 sector03 1 1 
98659530 sector03 1 1 
415972830 sector03 1 1 
114502124 sector03 1 1 
92192589 sector03 1 1 
43361845 sector03 1 1 
423664968 sector03 1 1 
423668583 sector03 1 1 
336769881 sector03 1 1 
98590547 sector03 1 1 
380880648 sector03 1 1 
306392560 sector03 1 1 
439454568 sector03 1 1 
92226112 sector03 1 1 
404452700 sector03 1 1 
98671454 sector03 1 1 
268651830 sector03 1 1 
439490642 sector03 1 1 
98678447 sector03 1 1 
114434808 sector03 1 1 
246891813 sector03 1 1 
268535538 sector03 1 1 
10762644 sector03 1 1 
439401567 sector03 1 1 
28052538 sector03 1 1 
114434314 sector03 1 1 
419014711 sector03 1 1 
380881073 sector03 1 1 
63813601 sector03 1 1 
268586423 sector03 1 1 
439456440 sector03 1 1 
136885162 sector03 1 1 
268715917 sector03 1 1 
439494674 sector03 1 1 
28092841 sector03 1 1 
28107909 sector03 1 1 
20904415 sector03 1 1 
469968935 sector03 1 1 
404746593 sector03 1 1 
28054520 sector03 1 1 
63919717 sector03 1 1 
92226216 sector03 1 1 
10785331 sector03 1 1 
114470961 sector03 1 1 
63786167 sector03 1 1 
98666654 sector03 1 1 
268717306 sector03 1 1 
11487933 sector03 1 1 
114472668 sector03 1 1 
380880661 sector03 1 1 
306392084 sector03 1 1 
167457827 sector03 1 1 
439456439 sector03 1 1 
114503580 sector03 1 1 
326186394 sector03 1 1 
439465278 sector03 1 1 
439488901 sector03 1 1 
10784833 sector03 1 1 
415974305 sector03 1 1 
63799080 sector03 1 1 
20924319 sector03 1 1 
63938801 sector03 1 1 
326184839 sector03 1 1 
62378345 sector03 1 1 
63797664 sector03 1 1 
63906310 sector03 1 1 
28075215 sector03 1 1 
415985248 sector03 1 1 
268532893 sector03 1 1 
326092564 sector03 1 1 
63921597 sector03 1 1 
246893784 sector03 1 1 
28091936 sector03 1 1 
66553100 sector03 1 1 
114435752 sector03 1 1 
184550331 sector03 1 1 
28051961 sector03 1 1 
98679775 sector03 1 1 
439463978 sector03 1 1 
268536327 sector03 1 1 
439468276 sector03 1 1 
423668600 sector03 1 1 
28053659 sector03 1 1 
28075828 sector03 1 1 
66536104 sector03 1 1 
114501641 sector03 1 1 
20924154 sector03 1 1 
63836529 sector03 1 1 
326104218 sector03 1 1 
63907355 sector03 1 1 
28076356 sector03 1 1 
268616296 sector03 1 1 
439455280 sector03 1 1 
28076611 sector03 1 1 
380860147 sector03 1 1 
268530679 sector03 1 1 
98665166 sector03 1 1 
268652372 sector03 1 1 
439457316 sector03 1 1 
268637184 sector03 1 1 
28001103 sector03 1 1 
63797659 sector03 1 1 
98672793 sector03 1 1 
43449779 sector03 1 1 
268717809 sector03 1 1 
28115696 sector03 1 1 
66550868 sector03 1 1 
63786825 sector03 1 1 
268634265 sector03 1 1 
404746114 sector03 1 1 
268652610 sector03 1 1 
246891794 sector03 1 1 
66555211 sector03 1 1 
63770207 sector03 1 1 
326092490 sector03 1 1 
268653474 sector03 1 1 
268732101 sector03 1 1 
98658400 sector03 1 1 
423667083 sector03 1 1 
10784622 sector03 1 1 
66551508 sector03 1 1 
28074580 sector03 1 1 
92224193 sector03 1 1 
92225901 sector03 1 1 
11597006 sector03 1 1 
404746737 sector03 1 1 
326092581 sector03 1 1 
326186462 sector03 1 1 
66555179 sector03 1 1 
184450299 sector03 1 1 
404746616 sector03 1 1 
114502508 sector03 1 1 
184728829 sector03 1 1 
268634495 sector03 1 1 
63769715 sector03 1 1 
27999626 sector03 1 1 
268534315 sector03 1 1 
423666958 sector03 1 1 
20925753 sector03 1 1 
66552273 sector03 1 1 
63794934 sector03 1 1 
439464447 sector03 1 1 
27986507 sector03 1 1 
114436107 sector03 1 1 
114504370 sector03 1 1 
10784562 sector03 1 1 
136847535 sector03 1 1 
380881218 sector03 1 1 
439399961 sector03 1 1 
268652658 sector03 1 1 
43397239 sector03 1 1 
114500829 sector03 1 1 
98611876 sector03 1 1 
423663151 sector03 1 1 
92231083 sector03 1 1 
28053782 sector03 1 1 
77486873 sector03 1 1 
268717805 sector03 1 1 
268730728 sector03 1 1 
28000645 sector03 1 1 
66535495 sector03 1 1 
268533469 sector03 1 1 
114436146 sector03 1 1 
268716492 sector03 1 1 
268529622 sector03 1 1 
63795063 sector03 1 1 
66535001 sector03 1 1 
63818751 sector03 1 1 
114435591 sector03 1 1 
11518173 sector03 1 1 
469969390 sector03 1 1 
62380026 sector03 1 1 
28056027 sector03 1 1 
63921606 sector03 1 1 
114471802 sector03 1 1 
439405270 sector03 1 1 
328086279 sector03 1 1 
268652864 sector03 1 1 
98666432 sector03 1 1 
380881180 sector03 1 1 
43363291 sector03 1 1 
20904041 sector03 1 1 
66534895 sector03 1 1 
268634126 sector03 1 1 
92230546 sector03 1 1 
28077697 sector03 1 1 
28115598 sector03 1 1 
415983569 sector03 1 1 
380881373 sector03 1 1 
415973406 sector03 1 1 
77486469 sector03 1 1 
167456343 sector03 1 1 
63793147 sector03 1 1 
98625634 sector03 1 1 
439454302 sector03 1 1 
415983631 sector03 1 1 
268717619 sector03 1 1 
11487937 sector03 1 1 
380882799 sector03 1 1 
98665596 sector03 1 1 
326196048 sector03 1 1 
98625666 sector03 1 1 
167456286 sector03 1 1 
380880727 sector03 1 1 
92192347 sector03 1 1 
268686747 sector03 1 1 
28091425 sector03 1 1 
439401320 sector03 1 1 
326092753 sector03 1 1 
92198311 sector03 1 1 
28001178 sector03 1 1 
98612135 sector03 1 1 
439401897 sector03 1 1 
114472746 sector03 1 1 
28092722 sector03 1 1 
27986128 sector03 1 1 
20925676 sector03 1 1 
136865515 sector03 1 1 
66534531 sector03 1 1 
268617190 sector03 1 1 
268717113 sector03 1 1 
98678281 sector03 1 1 
439454856 sector03 1 1 
268536899 sector03 1 1 
369394721 sector03 1 1 
92226275 sector03 1 1 
98658196 sector03 1 1 
268636678 sector03 1 1 
246891922 sector03 1 1 
77479764 sector03 1 1 
20925300 sector03 1 1 
268717925 sector03 1 1 
268616081 sector03 1 1 
66550899 sector03 1 1 
43363237 sector03 1 1 
415973239 sector03 1 1 
268638437 sector03 1 1 
136846139 sector03 1 1 
27999970 sector03 1 1 
66555044 sector03 1 1 
423668340 sector03 1 1 
268636124 sector03 1 1 
415984324 sector03 1 1 
114503470 sector03 1 1 
184551593 sector03 1 1 
268529839 sector03 1 1 
92230950 sector03 1 1 
167459728 sector03 1 1 
77486510 sector03 1 1 
184448944 sector03 1 1 
268686621 sector03 1 1 
63907952 sector03 1 1 
439455609 sector03 1 1 
92226179 sector03 1 1 
98665334 sector03 1 1 
268530895 sector03 1 1 
114433260 sector03 1 1 
268635427 sector03 1 1 
28076664 sector03 1 1 
43449684 sector03 1 1 
43398796 sector03 1 1 
326103905 sector03 1 1 
439457338 sector03 1 1 
27999887 sector03 1 1 
98626190 sector03 1 1 
439407203 sector03 1 1 
77528917 sector03 1 1 
246891788 sector03 1 1 
11519809 sector03 1 1 
77488389 sector03 1 1 
268686680 sector03 1 1 
63905657 sector03 1 1 
423662895 sector03 1 1 
43374966 sector03 1 1 
419014519 sector03 1 1 
63841299 sector03 1 1 
98671242 sector03 1 1 
268653523 sector03 1 1 
98660421 sector03 1 1 
28092942 sector03 1 1 
63919685 sector03 1 1 
98591004 sector03 1 1 
28091915 sector03 1 1 
268530431 sector03 1 1 
268617515 sector03 1 1 
98664764 sector03 1 1 
28043985 sector03 1 1 
27986032 sector03 1 1 
77528492 sector03 1 1 
439460505 sector03 1 1 
63813820 sector03 1 1 
326149751 sector03 1 1 
184550276 sector03 1 1 
28044762 sector03 1 1 
184550114 sector03 1 1 
98666966 sector03 1 1 
268651829 sector03 1 1 
114500472 sector03 1 1 
328101602 sector03 1 1 
246895881 sector03 1 1 
77479763 sector03 1 1 
268616875 sector03 1 1 
114433580 sector03 1 1 
20924689 sector03 1 1 
268651216 sector03 1 1 
369394595 sector03 1 1 
423660917 sector03 1 1 
62379954 sector03 1 1 
268530432 sector03 1 1 
439460588 sector03 1 1 
77479713 sector03 1 1 
326093077 sector03 1 1 
415985097 sector03 1 1 
114472573 sector03 1 1 
268635866 sector03 1 1 
43451411 sector03 1 1 
28077777 sector03 1 1 
326149688 sector03 1 1 
114436509 sector03 1 1 
10784612 sector03 1 1 
268730930 sector03 1 1 
28054772 sector03 1 1 
268651328 sector03 1 1 
63919577 sector03 1 1 
63784953 sector03 1 1 
268588640 sector03 1 1 
268530743 sector03 1 1 
114499842 sector03 1 1 
114435773 sector03 1 1 
326092483 sector03 1 1 
43396932 sector03 1 1 
114436019 sector03 1 1 
27999503 sector03 1 1 
75354903 sector03 1 1 
268535534 sector03 1 1 
114500578 sector03 1 1 
98673628 sector03 1 1 
11519763 sector03 1 1 
471015672 sector03 1 1 
184728777 sector03 1 1 
136865567 sector03 1 1 
268638354 sector03 1 1 
98666921 sector03 1 1 
66535311 sector03 1 1 
268716950 sector03 1 1 
98611715 sector03 1 1 
66552437 sector03 1 1 
114434775 sector03 1 1 
43373521 sector03 1 1 
404746519 sector03 1 1 
11544352 sector03 1 1 
98609995 sector03 1 1 
114502571 sector03 1 1 
62378421 sector03 1 1 
268616575 sector03 1 1 
98611228 sector03 1 1 
268730951 sector03 1 1 
114434482 sector03 1 1 
63906179 sector03 1 1 
404746172 sector03 1 1 
98666629 sector03 1 1 
43361567 sector03 1 1 
439457936 sector03 1 1 
268651761 sector03 1 1 
268717352 sector03 1 1 
322494477 sector03 1 1 
63907721 sector03 1 1 
20923815 sector03 1 1 
268531624 sector03 1 1 
66553580 sector03 1 1 
114503120 sector03 1 1 
268636958 sector03 1 1 
326092861 sector03 1 1 
268633979 sector03 1 1 
114502645 sector03 1 1 
268716784 sector03 1 1 
27985480 sector03 1 1 
28077327 sector03 1 1 
43451426 sector03 1 1 
98625262 sector03 1 1 
63818484 sector03 1 1 
63793206 sector03 1 1 
439493013 sector03 1 1 
268531890 sector03 1 1 
43398931 sector03 1 1 
439455220 sector03 1 1 
43395792 sector03 1 1 
43363152 sector03 1 1 
114501584 sector03 1 1 
28116018 sector03 1 1 
268687040 sector03 1 1 
439465888 sector03 1 1 
326184728 sector03 1 1 
10784515 sector03 1 1 
268535867 sector03 1 1 
66553809 sector03 1 1 
415983433 sector03 1 1 
268731719 sector03 1 1 
43449889 sector03 1 1 
28001058 sector03 1 1 
439461632 sector03 1 1 
268530838 sector03 1 1 
136865703 sector03 1 1 
98673701 sector03 1 1 
98610587 sector03 1 1 
439454441 sector03 1 1 
114473194 sector03 1 1 
439401593 sector03 1 1 
439460453 sector03 1 1 
28093151 sector03 1 1 
43361792 sector03 1 1 
20904219 sector03 1 1 
114472637 sector03 1 1 
268652031 sector03 1 1 
268652285 sector03 1 1 
63799153 sector03 1 1 
369381760 sector03 1 1 
415973046 sector03 1 1 
423671062 sector03 1 1 
344319294 sector03 1 1 
439454783 sector03 1 1 
439456127 sector03 1 1 
439453498 sector03 1 1 
63908887 sector03 1 1 
268686883 sector03 1 1 
439466263 sector03 1 1 
28078211 sector03 1 1 
28092310 sector03 1 1 
268716940 sector03 1 1 
268617565 sector03 1 1 
326195857 sector03 1 1 
268637220 sector03 1 1 
20926099 sector03 1 1 
63919551 sector03 1 1 
